ZipCode;Latitude;Longitude;State;StateFullName;City
00927;18.38759;-66.072006;PR;Puerto Rico;San Juan
00928;18.4683;-66.1061;PR;Puerto Rico;San Juan
00929;18.4683;-66.1061;PR;Puerto Rico;San Juan
00930;18.45;-66.06;PR;Puerto Rico;San Juan
00931;18.4683;-66.1061;PR;Puerto Rico;San Juan
00933;18.4683;-66.1061;PR;Puerto Rico;San Juan
00934;18.412973;-66.119834;PR;Puerto Rico;Fort Buchanan
00935;18.4683;-66.1061;PR;Puerto Rico;San Juan
00936;18.4683;-66.1061;PR;Puerto Rico;San Juan
00937;18.4683;-66.1061;PR;Puerto Rico;San Juan
00939;18.4683;-66.1061;PR;Puerto Rico;San Juan
00940;18.466229;-66.105735;PR;Puerto Rico;San Juan
00949;18.432704;-66.199115;PR;Puerto Rico;Toa Baja
00950;18.444524;-66.255037;PR;Puerto Rico;Toa Baja
00951;18.4456;-66.26;PR;Puerto Rico;Toa Baja
00952;18.428378;-66.180376;PR;Puerto Rico;Sabana Seca
00953;18.357812;-66.258113;PR;Puerto Rico;Toa Alta
00954;18.3905;-66.2487;PR;Puerto Rico;Toa Alta
00955;18.4697;-66.1179;PR;Puerto Rico;San Juan
00956;18.323022;-66.172992;PR;Puerto Rico;Bayamon
00957;18.36724;-66.185126;PR;Puerto Rico;Bayamon
00958;18.4008;-66.1589;PR;Puerto Rico;Bayamon
00959;18.392506;-66.158212;PR;Puerto Rico;Bayamon
00960;18.393064;-66.154817;PR;Puerto Rico;Bayamon
00961;18.413087;-66.161162;PR;Puerto Rico;Bayamon
00962;18.441765;-66.140217;PR;Puerto Rico;Catano
00963;18.1103;-66.17;PR;Puerto Rico;Catano
00965;18.430034;-66.119902;PR;Puerto Rico;Guaynabo
00966;18.39779;-66.116071;PR;Puerto Rico;Guaynabo
00968;18.414026;-66.108363;PR;Puerto Rico;Guaynabo
00969;18.330998;-66.112285;PR;Puerto Rico;Guaynabo
00970;18.359214;-66.110296;PR;Puerto Rico;Guaynabo
00971;18.330223;-66.114506;PR;Puerto Rico;Guaynabo
00975;18.4683;-66.1064;PR;Puerto Rico;San Juan
00976;18.337034;-65.990043;PR;Puerto Rico;Trujillo Alto
00977;18.3569;-66.0076;PR;Puerto Rico;Trujillo Alto
00978;18.3703;-66.0123;PR;Puerto Rico;Saint Just
00979;18.438381;-66.011814;PR;Puerto Rico;Carolina
00981;18.4683;-66.1064;PR;Puerto Rico;Carolina
00982;18.409908;-65.997644;PR;Puerto Rico;Carolina
00983;18.415614;-65.977729;PR;Puerto Rico;Carolina
00984;18.3828;-65.9578;PR;Puerto Rico;Carolina
00985;18.406221;-65.943942;PR;Puerto Rico;Carolina
00986;18.3828;-65.9578;PR;Puerto Rico;Carolina
00987;18.331133;-65.950318;PR;Puerto Rico;Carolina
00988;18.3828;-65.9578;PR;Puerto Rico;Carolina
01001;42.065842;-72.620948;MA;Massachusetts;Agawam
01002;42.372901;-72.450902;MA;Massachusetts;Amherst
01003;42.39115;-72.524316;MA;Massachusetts;Amherst
01004;42.3736;-72.5209;MA;Massachusetts;Amherst
01005;42.420844;-72.10623;MA;Massachusetts;Barre
01007;42.274798;-72.401922;MA;Massachusetts;Belchertown
01008;42.186964;-72.956111;MA;Massachusetts;Blandford
01009;42.2075;-72.3496;MA;Massachusetts;Bondsville
01010;42.126637;-72.204617;MA;Massachusetts;Brimfield
01011;42.268566;-72.980845;MA;Massachusetts;Chester
01012;42.365393;-72.819914;MA;Massachusetts;Chesterfield
01013;42.160827;-72.603375;MA;Massachusetts;Chicopee
01014;42.1486;-72.6085;MA;Massachusetts;Chicopee
01020;42.17762;-72.562566;MA;Massachusetts;Chicopee
01021;42.1486;-72.6085;MA;Massachusetts;Chicopee
01022;42.195565;-72.542478;MA;Massachusetts;Chicopee
01026;42.441033;-72.915573;MA;Massachusetts;Cummington
01027;42.292895;-72.717599;MA;Massachusetts;Easthampton
01028;42.06166;-72.498771;MA;Massachusetts;East Longmeadow
